"t","vx=dx/dt","vy = dy/dt"
0,"1.25000","2.15000"
20,"1.16000","1.97000"
40,"1.070000","1.700000"
60,"1.16000","1.52000"
80,"1.25000","1.16000"
100,"1.25000","1.07000"
120,"1.25000","0.81000"
140,"1.25000","0.63"
160,"1.25000","0.36"
180,"1.16000","0.36"
200,"1.34000","0.18"
220,"1.16000"," -0.09"
240,"1.070000","  -0.54"
260,"1.25000","  -0.72"
280,"1.25000"," -1.07"
300,"1.25000"," -1.25"
320,"1.34000"," -1.45"
340,"1.25000"," -1.61"
360,"1.16000"," -1.97"
380,"1.25000","  -1.97"
400,"1.16000","  -2.15"
420,"1.16000","  -2.51"
440,"1.16000"," -2.86"
460,"1.25000"," -3.04"
480,"1.25000"," -3.40"
500,"1.070000"," -3.49"
